stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
225,,Rruga Peti,"Në Rrugën ?Liqeni i Thatë?, në afërsi të Kopshtit Zoologjik.",41.3070472334,19.8133411797,,,0,,,0,,
226,,Liqeni Thatë,"Në Rrugën dytësore, përbri Autostradës Tiranë ? Elbasan, tek ?Liqeni i Thatë?.  Stacioni",41.3057474317948,19.8148646994925,,,0,,,0,,
227,,Liqeni Thatë,"Në Rrugën dytësore, përbri Autostradës Tiranë ? Elbasan, tek ?Liqeni i Thatë?.  Stacioni",41.3053322931826,19.8158080753446,,,0,,,0,,
228,,Selim Brahja,Në afërsi të kryqëzimit të Unazës së Madhe me Autostradën Tiranë ? Elbasan.,41.3034478063522,19.8364679963622,,,0,,,0,,
229,,Selim Brahja,Në afërsi të kryqëzimit të Unazës së Madhe me Autostradën Tiranë ? Elbasan,41.303475148,19.8351501585,,,0,,,0,,
231,,Kopshti Zoologjik,"ne fillim te diges se Parkut te Liqenit Artificial, pas rrethrrotullimit te Koopshtit Zoologjik",41.3090082936,19.8111493376,,,0,,,0,,
232,,Petro Nini Luarasi,"Në Rrugën ?Sami Frashëri?, tek Drejtoria e Përgjithshme e Rrugëve",41.3174689331,19.8148701567,,,0,,,0,,
233,,TEG,Ish Stacioni i Trenit ? Qendër ? Sauk i Ri/ Sauk i Vjetër/ Sanatoium ? Teg? / TEG,41.2830270048811,19.8583105722378,,,0,,,0,,
234,,Barrikadat,Rruga Barikadave,41.335340860645,19.8181234934251,,,0,,,0,,
235,,Kisha Katolike,"Në Rrugën e ?Kavajës?, përballë ?Kishës Katolike?.",41.3276537092737,19.8092830747123,,,0,,,0,,
236,,Poliklinika 9,"Ne Rrugën e ?Kavajës?, në afërsi të kryqëzimit ?21 Dhjetori? përballë ?Poliklinikës Nr. 9?.",41.3259058126597,19.8042716456349,,,0,,,0,,
237,,Ndre Mjeda,"Në Rrugën e ?Kavajës?, tek kryqëzimi me Rrugën ?Ndre Mjeda",41.3238125329,19.7966195143,,,0,,,0,,
238,,Tregu,"Në Rrugën e ""Konferenca e Pezzës"", tek kryqëzimi me Rrugën ""Hamdi Pepo""",41.3209325249883,19.787111669968,,,0,,,0,,
239,,UKT,Në Rrugën e ?Konferenca e Pezës? në afërsi të kryqëzimit me rrugën ?H.Culhaj?.,41.3176602099,19.7772227512,,,0,,,0,,
240,,Sheshi Shqiponja,"Në Rrugën ?Teodor Keko?, pas Sheshit Shqiponja.",41.3384663012889,19.7850709773026,,,0,,,0,,
241,,Lumi Lanë,"Në Rrugën ?Teodor Keko?, pas Urës së Lumit ?Lanë?.",41.3357059670133,19.7830502460865,,,0,,,0,,
242,,Aleksandri Madh,Pas kryqëzimit të Rrugës ?Teodor Keko? me Rrugën ?Kristaq Mone?,41.3315500060585,19.7838382833726,,,0,,,0,,
243,,Kombinati Mishit,"në Rrugën ""3 Dëshmorët"", në afërsi të Kombinatit të Mishit Yzberisht",41.3229969417873,19.7816708951534,,,0,,,0,,
244,,Bego Hoxha,"në rrugën ""3 Dëshmorët"", para kryqëzimit me rrugën ""Bego Hoxha""",41.3238673286,19.7767073376,,,0,,,0,,
245,,Bego Hoxha,"në rrugën ""3 Dëshmorët"", para kryqëzimit me rrugën ""Bego Hoxha""",41.3237116274,19.7766000553,,,0,,,0,,
246,,Besim Alla,"në rrugën ""3 Dëshmorët"", pas kryqëzimit me rrugën ""Besim Alla""",41.3249289556,19.774218263,,,0,,,0,,
247,,Besim Alla,"në rrugën ""3 Dëshmorët"", pas kryqëzimit me rrugën ""Besim Alla""",41.3248828106,19.7740166263,,,0,,,0,,
248,,Yzberisht,"në rrugën ""3 Dëshmorët"", në afërsi të kryqëzimit me rrugën ""Lasgush Pogradeci""",41.3265225319704,19.7738451850987,,,0,,,0,,
249,,Yzberisht,"në rrugën ""3 Dëshmorët"", në afërsi të kryqëzimit me rrugën ""Lasgush Pogradeci""",41.3264806600995,19.7737389009555,,,0,,,0,,
250,,Mëzez,Në afërsi të kryqëzimit të Rrugës ?Gani Toptani? me Rrugën ?Kasem Shima?,41.3382980224901,19.7639539617551,,,0,,,0,,
251,,Mëzez,Në afërsi të kryqëzimit të Rrugës ?Gani Toptani? me Rrugën ?Kasem Shima?,41.3383132839444,19.7637740122721,,,0,,,0,,
252,,Top Channel,"në rrugën ""7 Nëntori"", para televizionit ""Top Channel""",41.3409035007491,19.7606869995808,,,0,,,0,,
253,,Top Channel,"në rrugën ""7 Nëntori"", para televizionit ""Top Channel""",41.3408991105036,19.7605631606474,,,0,,,0,,
254,,Misto Mame,"Në Rrugën e ?Konferenca e Pezës?, pranë ?Misto Mames?",41.3189438347789,19.7814172133843,,,0,,,0,,
255,,Erzen Lita,"në Rrugën ?Sokrat Miho?, para kryqëzimit me Rrugën ?Erzen Lita",41.3341748285258,19.7757958922299,,,0,,,0,,
256,,Loni Ligori,"është në afërsi të kryqëzimit të rrugës ""Sokrat Miho"" me rrugën ""Loni Ligori""",41.3323234212803,19.778176094655,,,0,,,0,,
257,,Qemal Stafa,"Në Rrugën e ?Durrësit?, përballë Shkollës ?Qemal Stafa?",41.3323672111,19.8061224701,,,0,,,0,,
258,,Banka Shqipërisë,"Në Rrugën e ?Kavajës?, përpara kryqëzimit me Rrugën ?Ibrahim Rugova? / dalje e rruges se Kavajes",41.3280772119207,19.8155862332547,,,0,,,0,,
259,,Pallati Minierave,"në rrugën ""3 Dëshmorët"", pas kryqëzimit me rrugën ""Ëngjëll Mashi""",41.3283498737215,19.7739557235159,,,0,,,0,,
260,,Ish-Xhenio,"Në Rrugën ""Gani Toptani"", tek ""Lavazhi""",41.3339319482805,19.7699945865309,,,0,,,0,,
261,,Pallati Minierave,"në rrugën ""3 Dëshmorët"", pas kryqëzimit me Rrugën ""Ëngjëll Mashi""",41.32840352979,19.7740498079703,,,0,,,0,,
262,,Ish-Xhenio,"Në Rrugën ""Gani Toptani"", tek ""Lavazhi""",41.3338059640258,19.7699658522162,,,0,,,0,,
263,,Njësia Kashar,"Në Rrugën ?Sokrat Miho?, në afërsi të kryqëzimit me Rrugën ?Mikel Maruli?.",41.3311906771241,19.7802307050694,,,0,,,0,,
264,,Serat,"Në Rrugën ?Kasem Shima?, tek kryqëzimi me Rrugën ?Sokrat Miho?.",41.3406777068,19.7654482175,,,0,,,0,,
265,,Serat,"Në Rrugën ?Kasem Shima?, tek kryqëzimi me Rrugën ?Sokrat Miho?.",41.3407730856,19.7656445382,,,0,,,0,,
